figure,panel,source_file,source_role,status
1,A,02_benchmark_v0_1/benchmark_v0_1_report.md,overall benchmark framing,ready
1,B,02_benchmark_v0_1/benchmark_region_evidence_v0_1.csv,regional coverage and evidence,ready
1,C,02_benchmark_v0_1/benchmark_dataset_inventory_v0_1.csv,dataset tiers and lineage,ready
2,A,03_exposure_closure/chao_phraya_area_weighted_exposure_censoring/chao_phraya_area_weighted_exposure_summary.csv,lead-region area-weighted exposure summary,ready
2,B,03_exposure_closure/chao_phraya_area_weighted_exposure_censoring/chao_phraya_area_weighted_exposure_cells.csv,cell-level hidden exposure map,ready
2,C,03_exposure_closure/chao_phraya_area_weighted_exposure_censoring/chao_phraya_area_weighted_exposure_summary.csv,lead-region population and built-up exposure,ready
2,D,03_exposure_closure/chao_phraya_osm_exposure_censoring/chao_phraya_osm_exposure_censoring_summary.csv,transport exposure censoring,ready
3,A,03_exposure_closure/chao_phraya_robustness_grid/chao_phraya_robustness_grid.csv,threshold and block bootstrap grid,ready
3,B,03_exposure_closure/chao_phraya_robustness_grid/chao_phraya_robustness_grid.csv,bootstrap interval summary,ready
3,C,03_exposure_closure/chao_phraya_robustness_grid/chao_phraya_robustness_grid.csv,moderate-vs-strong deformation screening,ready
4,A,03_exposure_closure/chao_phraya_area_weighted_exposure_censoring/chao_phraya_area_weighted_exposure_summary.csv,visible-only vs full exposure translation,ready
4,B,02_benchmark_v0_1/benchmark_region_evidence_v0_1.csv,regional underestimation comparison,ready
4,C,03_exposure_closure/chao_phraya_area_weighted_exposure_censoring/chao_phraya_area_weighted_exposure_summary.csv,missed population and built-up exposure,ready
4,D,03_exposure_closure/chao_phraya_osm_exposure_censoring/chao_phraya_osm_exposure_censoring_summary.csv,missed transport exposure,ready
5,A,02_benchmark_v0_1/benchmark_region_evidence_v0_1.csv,land-cover control table,ready
5,B,01_innovation_reports/创新点落地进度_2026-07-09.md,mechanism framing and observability debt,ready
5,C,04_japan_licsbas_probe/h5_velocity_summary.json,Japan Niigata extension,ready
5,D,05_iran_insar_probe/iran_insar_zenodo_probe_report.md,Iran nationwide extension,ready
6,A,04_japan_licsbas_probe/h5_velocity_summary.json,Japan transfer summary,ready
6,B,05_iran_insar_probe/tif_inspection.json,Iran transfer summary,ready
6,C,02_benchmark_v0_1/benchmark_region_evidence_v0_1.csv,GNSS anchor availability,ready
6,D,06_egms_query_pack/egms_api_rescue_plan.md,EGMS rescue path,ready
